18wheeleramericanprotrucker	18 Wheeler: American Pro Trucker	Corrida	2000	Sega AM2
21twoone	21-Two One-	Aventura	2002	
4wheelthunder	4 Wheel Thunder	Corrida	2000	Kalisto Entertainment
4x4evo	4x4 Evo	Corrida	2000	Terminal Reality
advanceddaisenryakusturmbereuropaderdeutscheblitzkrieg	Advanced Daisenryaku: Sturm Über Europa - Der Deutsche Blitzkrieg			
aerowings	AeroWings	Simulacao	1999	CRI Middleware
aerowings2airstrike	AeroWings 2: Airstrike	Simulacao	2000	Crave Entertainment
after	After...	Aventura	2003	
agartha	Agartha	Aventura		
aikagihidamaritokanojonoheyagi	Aikagi: Hidamari to Kanojo no Heyagi	Aventura	2002	
air	Air	Aventura	2000	Key
airforcedelta	Airforce Delta	Simulacao	1999	Konami
akihabaradennougumipatapies	Akihabara Dennou-gumi Pata Pies!		1999	
alienfrontonline	Alien Front Online	Acao	2001	Sega Wow
aloneinthedark	Alone in the Dark	Aventura		
aloneinthedarkthenewnightmare	Alone in the Dark: The New Nightmare	Aventura	2001	Darkworks
angelpresent	Angel Present	Aventura		
angelwish	Angel Wish	Aventura	2004	Favorite
animastar	Animastar	Simulacao	2000	Asmik Ace Entertainment
apocalypse	Apocalypse			Neversoft
aquagt	Aqua GT	Corrida	2000	East Point Software
armada	Armada	RPG	1999	Metro3D
armymen	Army Men			The 3DO Company
armymensargesheroes	Army Men: Sarge's Heroes	Acao	1999	The 3DO Company
atarianniversaryedition	Atari Anniversary Edition	Acao	2002	
ateliermariethealchemistofsalburg	Atelier Marie: The Alchemist of Salburg	RPG	1997	Gust Co. Ltd.
atsumareguruguruonsen	Atsumare! Guru Guru Onsen		1999	Sega Wow
blackmatrix	BLACK/MATRIX	RPG	1999	Flight-Plan
baldrforce	Baldr Force	Aventura	2002	Giga
ballbreakers	Ball Breakers	Acao	2000	
banggunshipelite	Bang! Gunship Elite	Simulacao	2000	
bang2buster	Bang2 Buster	Plataforma	2010	
bangaio	Bangai-O	Tiro	1999	Treasure
bassrushecogearpowerwormchampionship	Bass Rush: ECOGEAR PowerWorm Championship	Esporte	2000	Visco Corporation
battlebeaster	Battle Beaster			
beatsofrage	Beats of Rage	Luta	2003	Senile Team
bikkuriman2000vivafestival	BikkuriMan 2000 Viva! Festival!			
biniax	Biniax	Puzzle	2005	
bittersweetfools	Bittersweet Fools	Aventura	2001	Minori
blackmatrixadvanced	Black/Matrix Advanced	RPG	1999	Flight-Plan
bluestinger	Blue Stinger	Aventura	1999	Climax Graphics
bluesubmarineno6saigetsufumahitotimeandtide	Blue Submarine No. 6: Saigetsu Fumahito- Time and Tide		2000	
blueskybluesoraomautsubasa	Blue-Sky-Blue: Sora o Mau Tsubasa			
bokomunotatsujin	Bokomu no Tatsujin			
bokudoraemon	Boku Doraemon	RPG	2001	
bokunotennisjinsei	Boku no Tennis Jinsei			
bokutobokuranonatsu	Boku to, Bokura no Natsu	Aventura	2002	Light
bombermanonline	Bomberman Online		2001	Hudson Soft
borderdown	Border Down	Tiro	2003	G.rev
bountyhuntersaraholymountainnoteiou	Bounty Hunter Sara: Holy Mountain no Teiou			
buzzlightyearofstarcommand	Buzz Lightyear of Star Command	Plataforma	2000	Traveller's Tales
caesarspalace2000	Caesars Palace 2000	Simulacao	2000	Runecraft
cafelittlewish	Cafe Little Wish	Aventura		
canary	Canary	Aventura		
candystripeminaraitenshi	Candy Stripe: Minarai Tenshi			
cannonspike	Cannon Spike		2000	Psikyo
canvasmotifofsepia	Canvas: Motif of Sepia	Aventura	2001	
capcomvssnk2markofthemillennium2001	Capcom vs. SNK 2: Mark of the Millennium 2001	Luta	2001	Capcom
capcomvssnkmillenniumfight2000	Capcom vs. SNK: Millennium Fight 2000	Luta	2000	Capcom
capcomvssnkmillenniumfight2000pro	Capcom vs. SNK: Millennium Fight 2000 Pro		2000	
cardofdestinyhikaritoyaminotougousha	Card of Destiny: Hikari to Yami no Tougousha		2002	
cardcaptorsakuratomoyonovideodaisakusen	Cardcaptor Sakura: Tomoyo no Video Daisakusen			
carrier	Carrier	Aventura	2000	Jaleco
castlefantasiaseimataisen	Castle Fantasia: Seima Taisen		1998	Studio e.go!
castleshikigami2	Castle Shikigami 2	Tiro	2003	Alfa System
centipede	Centipede	Tiro	1998	Atari
championshipsurfer	Championship Surfer		2000	Krome Studios
chaosfield	Chaos Field	Tiro	2004	Milestone
chargenblast	Charge'n Blast	Tiro	1999	CRI Middleware
cherryblossom	Cherryblossom	Aventura	2004	Takuyo
chickenrun	Chicken Run	Plataforma	2000	Blitz Games
chocolatmaidcafecurio	"Chocolat: Maid Cafe \""Curio\"	Aventura	2003	Giga
chouhatsumeiboykanipanbousourobotononazo	Chou Hatsumei Boy Kani Pan: Bousou Roboto no Nazo!?			
chuchurocket	ChuChu Rocket!	Puzzle	1999	Sonic Team
cleopatrafortune	Cleopatra Fortune	Puzzle	1997	Taito
closetoinorinooka	Close to: Inori no Oka	Aventura	2001	
coasterworks	Coaster Works	Simulacao	1999	Bottom Up
comicparty	Comic Party	Aventura	1999	Aquaplus
confidentialmission	Confidential Mission	Tiro	2001	
conflictzone	Conflict Zone	Estrategia	2001	
coolcooltoon	Cool Cool Toon	Ritmo	2000	SNK
cosmicsmash	Cosmic Smash	Esporte	2001	
cotton	Cotton	Tiro		
crazytaxi	Crazy Taxi	Corrida	1999	
crimsonfields	Crimson Fields	Estrategia		
culdceptsecond	Culdcept Second	RPG	2001	
cybertroopersvirtualonoratoriotangram	Cyber Troopers Virtual-On Oratorio Tangram	Acao	1999	
dvineluv	D+VINE[LUV]	RPG	2000	Abogado Powers
d2	D2	Aventura	1999	WARP
dux	DUX	Tiro	2009	
daisenryaku	Daisenryaku	Estrategia	1991	Sega
